
============================== START ==============================
2015-07-19 22:19:53 [Task]Check working folders:D:\TempDev\WorkingFolder
2015-07-19 22:19:53 [Task]------ Totally [1] modules, No.[1]:DAL ------
2015-07-19 22:19:53 [Task]------ Totally [25] tables, No.[1]:cms_administrator ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[2]:cms_adminrole ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[3]:cms_mailsettings ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[4]:cms_menu ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[5]:cms_menucategory ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[6]:cms_navigator ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[7]:cms_pagebinding ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[8]:cms_permission ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[9]:cms_permissioncategory ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[10]:cms_role ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[11]:cms_rolepermission ------
2015-07-19 22:19:54 [Task]------ Totally [25] tables, No.[12]:cms_topmenu ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[13]:cms_topmenubinding ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[14]:cms_websettings ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[15]:seh_article ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[16]:seh_bestpractice ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[17]:seh_blog ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[18]:seh_blogcategory ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[19]:seh_bulletin ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[20]:seh_channel ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[21]:seh_opensource ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[22]:seh_release ------
2015-07-19 22:19:55 [Task]------ Totally [25] tables, No.[23]:seh_software ------
2015-07-19 22:19:56 [Task]------ Totally [25] tables, No.[24]:seh_website ------
2015-07-19 22:19:56 [Task]------ Totally [25] tables, No.[25]:seh_websitecategory ------
============================== FINISHED ==============================

============================== START ==============================
2015-07-19 22:25:14 [Task]Check working folders:D:\TempDev\WorkingFolder
2015-07-19 22:25:14 [Task]------ Totally [1] modules, No.[1]:DAL ------
2015-07-19 22:25:14 [Task]------ Totally [25] tables, No.[1]:cms_administrator ------
2015-07-19 22:25:14 [Task]------ Totally [25] tables, No.[2]:cms_adminrole ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[3]:cms_mailsettings ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[4]:cms_menu ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[5]:cms_menucategory ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[6]:cms_navigator ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[7]:cms_pagebinding ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[8]:cms_permission ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[9]:cms_permissioncategory ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[10]:cms_role ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[11]:cms_rolepermission ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[12]:cms_topmenu ------
2015-07-19 22:25:15 [Task]------ Totally [25] tables, No.[13]:cms_topmenubinding ------
2015-07-19 22:25:16 [Task]------ Totally [25] tables, No.[14]:cms_websettings ------
2015-07-19 22:25:16 [Task]------ Totally [25] tables, No.[15]:seh_article ------
2015-07-19 22:25:16 [Task]------ Totally [25] tables, No.[16]:seh_bestpractice ------
2015-07-19 22:25:16 [Task]------ Totally [25] tables, No.[17]:seh_blog ------
2015-07-19 22:25:16 [Task]------ Totally [25] tables, No.[18]:seh_blogcategory ------
2015-07-19 22:25:16 [Task]------ Totally [25] tables, No.[19]:seh_bulletin ------
2015-07-19 22:25:16 [Task]------ Totally [25] tables, No.[20]:seh_channel ------
2015-07-19 22:25:16 [Task]------ Totally [25] tables, No.[21]:seh_opensource ------
